tick,mid_price,micro_price,obi,spread,ofi,ofi_rolling,bid_slope,ask_slope,rv_50,rv_200,accel,depth_imb_flow,pnl,position,action
284999,1.18334985,1.18334985,0.00000000,-0.00177510,-0.43204124,-3.06566383,710.81334013,-302.17745775,0.00046967,0.00034882,0.00049165,0.02543161,-0.74702001,-78.00000000,HOLD
285000,1.18334985,1.18334985,0.00000000,-0.00177510,0.00000000,-3.06566383,692.97886883,-302.17745775,0.00046967,0.00034882,-0.00049165,0.02543161,-0.74702001,-78.00000000,HOLD
285001,1.18334985,1.18334985,0.00000000,-0.00177510,0.00000000,-2.30995961,668.53620697,-302.17745775,0.00046737,0.00034882,0.00000000,0.02543161,-0.74702001,-78.00000000,HOLD
285002,1.18334985,1.18334985,0.00000000,-0.00177510,0.00000000,-2.30995961,659.96933504,-302.17745775,0.00046737,0.00034882,0.00000000,0.02543161,-0.74702001,-78.00000000,HOLD
285003,1.18236905,1.18236905,0.00000000,-0.00177350,0.49059126,-2.57507257,782.79054467,-416.01476104,0.00047946,0.00035413,-0.00098080,0.02543161,-0.67051761,-78.00000000,HOLD
285004,1.18236905,1.18236905,0.00000000,-0.00177350,-0.12859004,-2.71052599,782.79054467,-552.88869785,0.00047946,0.00035413,0.00098080,0.02543161,-0.67051761,-78.00000000,HOLD
285005,1.18236905,1.18236905,0.00000000,-0.00177350,0.00000000,-2.71327134,1274.26171874,-581.00385516,0.00047946,0.00035413,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
285006,1.18236905,1.18236905,0.00000000,-0.00177350,0.00000000,-2.08037061,1059.09986325,800.78352729,0.00047692,0.00035413,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
285007,1.18236905,1.18236905,0.00000000,-0.00177350,0.00000000,-2.08037061,897.51607148,796.57144295,0.00047692,0.00035413,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
285008,1.18236905,1.18236905,0.00000000,-0.00177350,0.14209200,-2.57117934,945.24337021,878.12441305,0.00047217,0.00035269,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
285009,1.18236905,1.18236905,0.00000000,-0.00177350,0.06429502,-2.69976938,859.42234438,978.20039387,0.00047217,0.00035269,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
285010,1.18236905,1.18236905,0.00000000,-0.00177350,-0.06429502,-2.57117934,833.47197835,867.16673571,0.00047217,0.00035269,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
285011,1.18236905,1.18236905,0.00000000,-0.00177350,-0.06429502,-2.00257363,815.64472386,725.52029949,0.00046959,0.00035269,0.00000000,0.02543161,-0.67051761,-78.00000000,HOLD
