tick,mid_price,micro_price,obi,spread,ofi,ofi_rolling,bid_slope,ask_slope,rv_50,rv_200,accel,depth_imb_flow,pnl,position,action
0,99.97248828,99.97118164,-0.14102961,0.02025772,0.00000000,0.00000000,19126.89485894,24699.34517680,nan,nan,nan,nan,0.01012886,-1.00000000,PASSIVE_SELL
1,99.98359222,99.98794558,0.31080951,0.02038399,883.83172294,883.83172294,29718.95059979,16528.82003663,nan,nan,nan,nan,0.00921691,0.00000000,PASSIVE_BUY
2,99.91469526,99.90623797,-0.10680641,0.02017656,-779.95629447,103.87542847,30243.02652860,33527.71498582,nan,nan,-0.08000091,nan,0.01930519,-1.00000000,PASSIVE_SELL
3,99.91251842,99.91111834,0.01140812,0.02013765,-228.83545625,-124.96002778,30045.39019283,28308.62858387,nan,nan,0.06672013,nan,0.03155085,-2.00000000,PASSIVE_SELL
4,99.86583027,99.85931232,-0.16470571,0.02039210,-289.28268433,-414.24271211,24819.62838754,30319.86046092,nan,nan,-0.04451130,nan,0.13512319,-3.00000000,PASSIVE_SELL
5,99.86056742,99.86356845,-0.10689069,0.02047767,-146.84827489,-561.09098700,17392.98193122,22757.03878903,nan,nan,0.04142529,nan,0.04620969,-2.00000000,PASSIVE_BUY
6,99.75598743,99.76140963,-0.06543888,0.02063187,-255.88707427,-816.97806128,22168.18276420,29147.92212390,nan,nan,-0.09931713,nan,0.16102851,-1.00000000,PASSIVE_BUY
7,99.79237909,99.79586554,0.06440494,0.02030953,533.67453780,-283.30352348,28457.04412735,27278.85735937,nan,nan,0.14097164,nan,0.13479162,0.00000000,PASSIVE_BUY
8,99.75050002,99.75172806,0.02041626,0.02033859,-767.18684441,-1050.49036789,32566.46855627,32801.98353776,nan,nan,-0.07827072,nan,0.14496092,1.00000000,PASSIVE_BUY
9,99.78315244,99.78099756,-0.00065994,0.02055134,467.72806446,-582.76230343,24157.06697501,23851.31747511,nan,nan,0.07453148,nan,0.18788900,0.00000000,PASSIVE_SELL
10,99.81013290,99.80674357,-0.00044450,0.02074915,543.04010164,-39.72220179,33147.99303721,25130.85973796,nan,nan,-0.00567196,nan,0.19826358,-1.00000000,PASSIVE_SELL
11,99.91607721,99.90750466,0.02961113,0.02077327,536.57716643,496.85496464,24781.96012404,20222.87788227,nan,nan,0.07896385,nan,0.10270590,-2.00000000,PASSIVE_SELL
12,99.82598281,99.82367414,-0.11642306,0.02023386,-262.61228628,234.24267836,17347.27972017,24576.70595442,nan,nan,-0.19603871,nan,0.29301162,-3.00000000,PASSIVE_SELL
13,99.84370379,99.84809401,0.08815350,0.02094016,631.34842955,865.59110791,22734.66114089,22690.14549192,nan,nan,0.10781538,nan,0.19473882,-2.00000000,PASSIVE_BUY
14,99.93276835,99.94136146,0.16643161,0.02033871,628.51383588,1494.10494379,22645.86441927,18579.66150432,nan,nan,0.07134357,nan,0.11614434,-1.00000000,PASSIVE_BUY
15,99.90530570,99.90695187,0.04387528,0.02054840,-696.14489892,797.96004487,33274.01943447,31559.64633173,nan,nan,-0.11652720,nan,0.15388119,0.00000000,PASSIVE_BUY
16,99.92936659,99.93068961,-0.27075695,0.02023353,649.69932007,1447.65936494,15356.06951553,27949.92081033,nan,nan,0.05152353,nan,0.16399795,1.00000000,PASSIVE_BUY
17,99.95179902,99.95056667,-0.09287743,0.02003937,534.21119777,1981.87056271,22967.14523952,26290.80785769,nan,nan,-0.00162845,nan,0.19645007,0.00000000,PASSIVE_SELL
18,99.93123449,99.92952091,-0.08681432,0.02049201,-696.33319283,1285.53736988,26267.76074051,31993.62137286,nan,nan,-0.04299696,nan,0.20669607,-1.00000000,PASSIVE_SELL
19,99.97568371,99.97551912,0.13117219,0.02024803,899.68800788,2185.22537776,32539.77956665,22761.57776406,nan,nan,0.06501374,nan,0.17237087,-2.00000000,PASSIVE_SELL
20,99.93609771,99.93354519,-0.03018670,0.02058599,-643.73697984,1541.48839792,27579.29637096,27381.16904253,nan,nan,-0.08403521,nan,0.26183586,-3.00000000,PASSIVE_SELL
21,99.97827641,99.98157595,0.14131219,0.02053316,314.32696632,1855.81536424,27936.73817999,20034.77251769,nan,nan,0.08176470,nan,0.16580005,-2.00000000,PASSIVE_BUY
22,99.96210777,99.96941070,-0.05018371,0.02083006,-117.28037858,1738.53498565,23651.30984643,27259.76760260,nan,nan,-0.05834734,nan,0.19223527,-1.00000000,PASSIVE_BUY
23,99.93131848,99.92944628,-0.00346598,0.02071809,-563.37458651,1175.16039915,23814.28263752,22103.94602768,nan,nan,-0.01462065,nan,0.23338361,-2.00000000,PASSIVE_SELL
24,99.94811592,99.95441576,0.06271749,0.02024720,557.93998739,1733.10038654,30279.50582022,31808.94219338,nan,nan,0.04758673,nan,0.20121951,-1.00000000,PASSIVE_BUY
25,100.02864484,100.02167481,0.00193539,0.02063700,87.57029151,1820.67067805,28233.47465264,24291.01854692,nan,nan,0.06373149,nan,0.13100909,-2.00000000,PASSIVE_SELL
26,99.91990072,99.91801126,-0.14596060,0.02101607,-351.12641650,1469.54426154,24976.98875297,27811.37144057,nan,nan,-0.18927304,nan,0.35900536,-3.00000000,PASSIVE_SELL
27,99.85897624,99.86549042,-0.02445488,0.02058016,-261.36962741,1208.17463414,23464.01842933,26668.57832624,nan,nan,0.04781964,nan,0.31119827,-2.00000000,PASSIVE_BUY
28,99.90231869,99.89345515,-0.14230545,0.02023552,80.15374478,1288.32837892,22454.80391112,23747.83704165,nan,nan,0.10426694,nan,0.23463112,-3.00000000,PASSIVE_SELL
29,100.00654256,100.00458998,0.09926887,0.02069545,572.91053966,1861.23891858,24532.63032790,20650.86532325,nan,nan,0.06088141,nan,-0.06769275,-4.00000000,PASSIVE_SELL
30,100.01524087,100.00555965,-0.04830630,0.02045394,299.18168852,2160.42060710,32439.09537036,29693.41842455,nan,nan,-0.09552555,nan,-0.09225904,-5.00000000,PASSIVE_SELL
31,100.00534273,100.00307832,-0.01998101,0.02023841,-313.59971975,1846.82088735,23061.11962604,21970.67144782,nan,nan,-0.01859646,nan,-0.03264910,-6.00000000,PASSIVE_SELL
32,99.97992243,99.97867181,0.07325576,0.02062092,-654.88315015,1191.93773720,32949.69038884,27655.00333053,nan,nan,-0.01552215,nan,0.13018315,-7.00000000,PASSIVE_SELL
33,100.07982491,100.08030158,0.04117339,0.02078976,665.78644916,1857.72418636,32548.78040043,25406.92817725,nan,nan,0.12532278,nan,0.15110222,-6.00000000,PASSIVE_BUY
